Municipality_ID,Municipality,Population_2021_Actual,Population_2051,Population_Growth_2021_2051,Growth_Percent_2021_2051,Current_Grocery_Records,Current_Core_Grocery_Stores,Future_Grocery_Records,Current_Core_Grocery_Stores_Per_1000_2021_Pop,Current_Grocery_Records_Per_1000_2021_Pop,Development_Count,Reported_Units,Developments_With_Reported_Units,Developments_Without_Reported_Units,Development_Unit_Data_Completeness_Pct
1,"Richmond Hill",202022,320100,111800,53.7,21,19,0,0.09,0.1,22,,0,22,0.0
2,Markham,338503,610500,261500,74.9,20,15,2,0.04,0.06,17,19480,17,0,100.0
3,Vaughan,323103,575900,242800,72.9,16,12,0,0.04,0.05,14,8738,14,0,100.0
4,Newmarket,87942,118500,27800,30.7,12,8,0,0.09,0.14,13,2225,10,3,76.9
5,Aurora,62057,85800,21800,34.1,8,8,0,0.13,0.13,18,3815,17,1,94.4
6,Whitchurch-Stouffville,49864,103000,51600,100.4,6,3,0,0.06,0.12,15,1848,10,5,66.7
7,"East Gwillimbury",34637,128600,92900,260.2,3,3,0,0.09,0.09,27,4212,20,7,74.1
8,Georgina,47642,70500,21400,43.6,9,8,0,0.17,0.19,22,1879,18,4,81.8
9,King,27333,51000,22900,81.5,5,4,0,0.15,0.18,13,1503,10,3,76.9
